id,genus,sp,lat,lon,Host
1,Diplodia,Diplodia sp1.,40.950815,-7.082681,Quercus suber
2,Diplodia,Diplodia sp1.,40.950815,-7.082681,Quercus suber
3,Diplodia,Diplodia sp1.,40.950815,-7.082681,Quercus suber
4,Diplodia,Diplodia sp1.,40.950815,-7.082681,Quercus suber
5,Diplodia,Diplodia sp1.,,,Quercus suber
6,Diplodia,Diplodia sp1.,40.664366,-8.609283,Quercus suber
7,Diplodia,Diplodia sp1.,40.664366,-8.609283,Quercus suber
8,Diplodia,,40.664366,-8.609283,Quercus suber
9,Diplodia,Diplodia sp1.,40.664366,-8.609283,Quercus suber
10,Diplodia,Diplodia sp1.,40.664366,-8.609283,Quercus suber
11,Diplodia,Diplodia sp1.,,-8.548174,Quercus suber
12,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
13,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
14,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
15,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
16,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
17,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
18,Diplodia,Diplodia sp1.,40.712515,-8.548174,Quercus suber
19,Diplodia,Diplodia sp1.,40.786528,,Quercus suber
20,Diplodia,Diplodia sp1.,40.786528,-8.548923,Quercus suber
21,,Diplodia sp1.,40.786553,-8.548925,Quercus suber
22,Diplodia,Diplodia sp1.,40.786553,-8.548925,Quercus suber
23,Diplodia,Diplodia sp1.,40.786549,-8.548925,Quercus suber
24,Diplodia,Diplodia sp1.,40.851146,-8.451951,Quercus suber
25,Diplodia,Diplodia sp1.,40.851146,-8.451951,Quercus suber
26,Diplodia,Diplodia sp1.,40.851026,-8.452265,Quercus suber
27,Diplodia,Diplodia sp1.,40.851026,-8.452265,Quercus suber
28,Diplodia,Diplodia sp1.,40.851026,-8.452265,Quercus suber
29,Diplodia,Diplodia sp1.,40.850932,-8.452365,Pinus pinaster
30,Diplodia,Diplodia sp1.,40.850932,-8.452365,Pinus pinaster
31,Diplodia,Diplodia sp1.,40.900881,-8.452365,Pinus pinaster
32,Diplodia,Diplodia sp1.,40.900881,-8.331588,Pinus pinaster
33,Diplodia,Diplodia sp1.,40.955246,-8.224935,Pinus pinaster
34,Diplodia,Diplodia sp1.,40.955246,-8.224935,Pinus pinaster
35,Diplodia,Diplodia sp1.,40.955246,-8.224935,Pinus pinaster
36,Diplodia,Diplodia sp1.,40.955412,-8.224935,Pinus pinaster
37,Diplodia,Diplodia sp1.,40.955657,-8.224832,Pinus pinaster
38,Diplodia,Diplodia sp1.,40.955657,-8.224832,Pinus pinaster
39,Diplodia,Diplodia sp1.,40.955554,-8.224666,Pinus pinaster
40,Diplodia,Diplodia sp1.,40.955554,-8.224666,Pinus pinaster
41,Diplodia,Diplodia sp1.,40.955684,-8.225488,Pinus pinaster
42,Diplodia,Diplodia sp1.,40.955684,-8.225488,Pinus pinaster
43,Diplodia,Diplodia sp1.,40.952866,-8.176328,Pinus pinaster
44,Diplodia,Diplodia sp1.,40.952866,-8.176328,Pinus pinaster
45,Diplodia,Diplodia sp1.,40.952866,-8.173184,Pinus pinaster
46,Diplodia,Diplodia sp1.,40.952866,-8.173184,Pinus pinaster
47,Diplodia,Diplodia sp1.,40.952866,-8.173184,Pinus pinaster
48,Diplodia,Diplodia sp1.,40.952866,-8.173184,Pinus pinaster
49,Diplodia,Diplodia sp1.,40.955182,-8.173184,Pinus pinaster
50,Diplodia,Diplodia sp1.,40.961252,-8.175951,Pinus pinaster
51,Diplodia,Diplodia sp1.,40.961252,-8.175951,Pinus pinaster
52,Diplodia,Diplodia sp1.,41.238952,-8.217371,Pinus pinaster
53,Diplodia,Diplodia sp1.,41.238952,-8.217371,Pinus pinaster
54,Diplodia,Diplodia sp1.,41.239022,-8.217321,Pinus pinaster
55,Diplodia,Diplodia sp1.,41.506677,-8.415039,Pinus pinaster
56,Diplodia,Diplodia sp1.,41.506677,-8.415039,Pinus pinaster
57,Diplodia,Diplodia sp2.,41.791413,-8.469632,Pinus pinaster
58,Diplodia,Diplodia sp2.,41.791454,-8.469735,Pinus pinaster
59,Diplodia,Diplodia sp2.,41.791454,-8.469735,Pinus pinaster
60,Diplodia,Diplodia sp2.,41.791221,-8.469766,Pinus pinaster
61,Diplodia,Diplodia sp2.,41.790989,-8.469518,Pinus pinaster
62,Diplodia,Diplodia sp2.,41.790989,-8.469518,Pinus pinaster
63,Diplodia,Diplodia sp2.,41.790989,-8.469518,Pinus pinaster
64,Diplodia,Diplodia sp2.,41.793956,-8.472694,Pinus pinaster
65,Diplodia,Diplodia sp2.,41.793956,-8.472694,Pinus pinaster
66,Diplodia,Diplodia sp2.,41.806472,-8.359031,Pinus pinaster
67,Diplodia,Diplodia sp2.,41.806472,-8.359031,Pinus pinaster
68,Diplodia,Diplodia sp2.,41.806542,-8.359037,Pinus pinaster
69,Diplodia,Diplodia sp2.,41.806542,-8.359037,Pinus pinaster
70,Diplodia,Diplodia sp2.,41.806542,-8.359037,Pinus pinaster
71,Diplodia,Diplodia sp2.,41.808341,-8.361415,Pinus pinaster
72,Diplodia,Diplodia sp2.,41.808258,-8.361305,Pinus pinaster
73,Diplodia,Diplodia sp2.,41.808258,-8.361305,Pinus pinaster
74,Neofusicoccum,Neofusicoccum sp2.,41.808258,-8.361305,Pinus pinaster
75,Neofusicoccum,Neofusicoccum sp2.,41.808258,-8.361305,Quercus ilex
76,Neofusicoccum,Neofusicoccum sp2.,41.808343,-8.361288,Quercus ilex
77,Neofusicoccum,Neofusicoccum sp2.,41.808343,-8.361288,Quercus ilex
78,Neofusicoccum,Neofusicoccum sp2.,41.870663,-8.193683,Quercus ilex
79,Neofusicoccum,Neofusicoccum sp2.,41.870663,-8.193683,Quercus ilex
80,Neofusicoccum,Neofusicoccum sp2.,41.870817,-8.193748,Quercus ilex
81,Neofusicoccum,Neofusicoccum sp2.,41.818246,-8.125934,Quercus ilex
82,Neofusicoccum,Neofusicoccum sp2.,41.818246,-8.125934,Quercus ilex
83,Neofusicoccum,Neofusicoccum sp2.,41.818272,-8.125727,Quercus ilex
84,Neofusicoccum,Neofusicoccum sp2.,41.817393,-8.126008,Quercus ilex
85,Neofusicoccum,Neofusicoccum sp2.,41.745213,-8.155221,Quercus ilex
86,Neofusicoccum,Neofusicoccum sp2.,41.727334,-8.154768,Quercus ilex
87,Neofusicoccum,Neofusicoccum sp2.,41.733869,-8.156785,Quercus ilex
88,Neofusicoccum,Neofusicoccum sp2.,41.677851,-8.106472,Quercus ilex
89,Neofusicoccum,Neofusicoccum sp2.,41.680093,-7.993736,Quercus ilex
90,Neofusicoccum,Neofusicoccum sp2.,41.680093,-7.993736,Quercus ilex
